id,modelo_id,ano,nome_versao,cilindrada_cc,combustivel_id,cambio_id,potencia_cv,torque_nm,consumo_cidade_kml,consumo_estrada_kml,preco_brl
1,1,2010,1.0 Fire Flex,1000,1,1,65,87,12.5,15.0,28000
2,1,2015,1.0 Evo Flex,1000,1,1,75,97,13.0,15.5,35000
3,1,2020,1.0 Drive Flex,1000,1,1,75,97,13.5,16.0,55000
4,2,2010,1.0 Fire,1000,1,1,65,87,12.0,14.5,22000
5,2,2015,1.4 Attractive,1368,1,1,85,120,11.5,14.0,35000
6,3,2015,1.4 Fire,1368,1,1,85,120,10.5,13.5,55000
7,3,2020,1.3 Drive,1332,1,1,109,139,11.5,14.5,95000
8,3,2023,1.3 Volcano AT,1332,1,2,109,139,11.0,14.0,115000
9,4,2018,1.3 Drive,1332,1,1,109,139,12.0,15.0,75000
10,4,2022,1.3 Drive AT,1332,1,2,109,139,11.5,14.5,95000
11,5,2017,1.0 Drive,1000,1,1,75,97,13.0,15.5,65000
12,5,2022,1.3 Trekking,1332,1,1,109,139,12.5,15.0,90000
13,6,2021,1.0 T200,1000,1,3,130,200,12.0,15.5,110000
14,6,2023,1.0 T200 Abarth,1000,1,3,130,200,11.5,15.0,140000
15,7,2016,2.0 Diesel,1956,3,2,170,350,10.0,13.5,120000
16,7,2021,1.3 T270,1332,1,2,185,270,11.0,14.5,145000
17,8,2010,1.0 Total Flex,1000,1,1,68,91,12.8,15.5,20000
18,8,2016,1.6 MSI,1598,1,1,104,153,11.0,13.5,38000
19,8,2020,1.6 MSI,1598,1,1,104,153,11.5,14.0,55000
20,9,2018,1.0 TSI,997,1,1,128,200,13.0,16.0,75000
21,9,2022,1.0 TSI Highline,997,1,2,128,200,12.5,15.5,110000
22,10,2018,1.0 TSI,997,1,1,128,200,13.5,16.5,78000
23,10,2023,1.0 TSI GTS,997,1,2,128,200,13.0,16.0,120000
24,11,2019,1.0 TSI,997,1,2,128,200,12.5,15.5,110000
25,11,2023,1.4 TSI Highline,1395,1,2,150,250,11.5,14.5,155000
26,12,2012,2.0 TDI BiTurbo,1968,3,2,180,400,9.0,12.5,120000
27,12,2023,3.0 TDI V6,2967,3,2,258,580,8.5,12.0,350000
28,13,2020,1.0 TSI,997,1,2,128,200,13.0,16.5,105000
29,14,2012,1.0 Ecotec,1000,1,1,73,97,12.5,15.5,30000
30,14,2017,1.4 LTZ,1396,1,2,98,130,11.0,14.5,55000
31,14,2020,1.0 Turbo,1000,1,2,116,166,12.5,16.0,85000
32,14,2023,1.0 Turbo Premier,1000,1,2,116,166,12.0,15.5,105000
33,15,2020,1.0 Turbo,1000,1,2,116,166,12.5,16.0,92000
34,15,2023,1.0 Turbo Premier,1000,1,2,116,166,12.0,15.5,110000
35,16,2014,1.8 LTZ,1796,1,2,140,176,10.0,13.0,65000
36,16,2020,1.2 Turbo,1199,1,2,133,220,12.0,15.5,110000
37,17,2012,2.8 Turbo Diesel,2776,3,2,180,440,9.5,13.0,100000
38,17,2021,2.8 Turbo Diesel,2776,3,2,200,500,9.0,12.5,185000
39,18,2014,1.0 SE,1000,1,1,80,104,13.5,16.5,32000
40,18,2019,1.5 SE Plus,1497,1,2,107,140,11.5,14.5,55000
41,19,2012,1.6 SE,1596,1,1,115,153,10.5,13.5,45000
42,19,2018,1.5 SE,1497,1,2,136,172,11.0,14.0,85000
43,20,2013,2.2 XL Diesel,2198,3,1,160,385,9.5,13.0,95000
44,20,2023,2.0 Wildtrak BiTurbo,1996,3,2,213,500,9.0,12.5,280000
45,21,2010,2.0 XEI,1998,1,2,153,196,10.0,13.0,55000
46,21,2015,2.0 GLI,1998,1,2,153,196,10.5,13.5,75000
47,21,2020,2.0 Altis Hybrid,1798,4,3,122,142,14.5,18.0,175000
48,21,2023,2.0 GR-Sport,1998,1,2,177,200,11.0,14.0,210000
49,22,2010,3.0 SR Diesel,2982,3,1,171,400,8.5,12.0,80000
50,22,2016,2.8 SRX Diesel,2755,3,2,177,450,9.0,12.5,185000
51,22,2023,2.8 GR-Sport Diesel,2755,3,2,204,500,8.5,12.0,350000
52,23,2013,2.0 4x4,2000,2,2,158,200,9.0,12.0,85000
53,23,2020,2.5 Hybrid,2487,4,3,222,163,14.0,17.5,250000
54,24,2018,1.5 XL,1496,1,1,108,141,13.5,16.5,80000
55,24,2022,1.5 XLS,1496,1,2,108,141,13.0,16.0,105000
56,25,2010,1.8 LXL,1799,1,2,140,176,10.5,13.5,40000
57,25,2016,2.0 EXL,1997,1,2,155,194,10.5,13.5,75000
58,25,2022,1.5 Turbo Touring,1498,1,3,173,220,12.5,16.0,195000
59,26,2015,1.8 EXL,1799,1,3,142,173,12.0,15.0,80000
60,26,2022,1.5 Turbo EXL,1498,1,3,173,220,13.0,16.5,155000
61,27,2015,1.5 EX,1497,1,2,120,145,12.0,15.0,60000
62,27,2021,1.5 EXL CVT,1497,1,3,120,145,12.5,15.5,105000
63,28,2010,1.4 LX,1339,1,1,100,132,13.0,16.0,30000
64,28,2018,1.5 EXL,1497,1,3,128,155,13.5,16.5,70000
65,33,2013,1.0 Comfort Plus,1000,1,1,80,100,13.0,16.0,30000
66,33,2019,1.0 T-GDI,1000,1,1,120,172,13.5,16.5,65000
67,33,2023,1.0 T-GDI Diamond,1000,1,2,120,172,13.0,16.0,95000
68,34,2015,1.6 Comfort Plus,1591,1,2,128,157,11.0,14.0,42000
69,35,2017,1.6 Attitude,1591,1,2,128,157,11.5,14.5,85000
70,35,2022,1.0 T-GDI Ultimate,1000,1,2,120,172,12.5,16.0,160000
71,36,2016,1.6 GLS Turbo,1591,2,2,177,265,10.5,13.5,100000
72,36,2022,1.6 T-GDI MHEV,1591,4,2,230,350,11.0,14.0,250000
73,29,2011,1.0 S,1000,1,1,73,97,13.5,16.5,28000
74,29,2018,1.6 SV,1598,1,2,113,152,12.5,15.5,55000
75,30,2011,1.6 S,1598,1,1,113,152,12.0,15.0,32000
76,30,2021,1.6 Exclusive CVT,1598,1,3,120,155,13.0,16.5,90000
77,31,2017,1.6 SV Limited,1598,1,3,114,152,13.0,16.5,90000
78,31,2022,1.0 Turbo Exclusive,1000,1,3,116,180,13.5,17.0,135000
79,32,2013,2.5 SE Diesel,2488,3,1,163,403,10.0,13.5,80000
80,32,2022,2.3 BiTurbo PRO-4X,2298,3,2,190,450,9.5,13.0,290000
81,37,2010,2.0 Twin Turbo,1995,2,2,184,270,10.0,13.0,80000
82,37,2016,2.0 Sport ActiveFlex,1998,1,2,184,290,11.0,14.0,190000
83,37,2022,2.0 M Sport,1998,2,2,184,290,11.5,14.5,310000
84,38,2012,2.0 sDrive20i,1995,2,2,184,270,10.0,12.5,90000
85,38,2023,2.0 xDrive25e Hybrid,1998,4,2,245,450,20.0,25.0,380000
86,39,2013,2.0 xDrive20i,1995,2,2,184,270,9.5,12.0,130000
87,39,2022,2.0 xDrive30e Hybrid,1998,4,2,292,420,18.0,22.0,450000
88,40,2014,528i,1997,2,2,245,350,10.0,13.5,160000
89,40,2022,530i M Sport,1998,2,2,252,350,11.0,14.5,450000
90,41,2013,A200 Turbo,1595,2,2,156,250,11.5,14.5,95000
91,41,2019,A200 AMG Line,1332,2,2,163,250,12.5,16.0,250000
92,42,2012,C200 CGI,1796,2,2,184,270,10.0,13.0,110000
93,42,2022,C300 AMG Line,1999,2,2,258,400,11.0,14.5,380000
94,43,2015,GLA200 Turbo,1595,2,2,156,250,11.5,14.5,140000
95,43,2022,GLA250 AMG,1991,2,2,224,350,12.0,15.5,340000
96,44,2014,2.2 CDI,2143,3,1,163,360,9.0,12.0,160000
97,44,2023,2.2 CDI eDrive,2143,3,2,177,440,9.5,13.0,400000
98,45,2012,1.4 TFSI S-Tronic,1390,2,2,125,200,13.0,16.0,85000
99,45,2022,1.4 TFSI Prestige,1390,1,2,150,250,13.5,17.0,250000
100,46,2013,1.4 TFSI,1390,2,2,125,200,12.5,15.5,115000
101,46,2022,1.4 TFSI Black,1390,1,2,150,250,13.5,16.5,290000
102,47,2012,2.0 TFSI Ambition,1984,2,2,211,350,10.0,13.5,130000
103,47,2022,2.0 TFSI S-Line,1984,2,2,204,320,10.5,14.0,380000
104,48,2013,2.0 TFSI Quattro,1984,2,2,211,350,10.0,13.0,165000
105,48,2023,2.0 TFSI Quattro SLine,1984,2,2,265,400,10.5,13.5,480000
106,49,2013,1.6 Allure,1598,1,2,120,160,12.0,15.0,42000
107,49,2020,1.6 Griffe,1598,1,2,120,160,12.5,16.0,90000
108,49,2022,1.2 PureTech Allure,1199,1,2,130,230,14.0,17.5,120000
109,50,2015,1.6 Griffe,1598,1,2,120,160,12.0,15.0,65000
110,50,2023,1.2 PureTech Allure,1199,1,2,130,230,14.0,18.0,155000
111,51,2017,1.6 THP Allure,1598,2,2,165,240,11.0,14.0,120000
112,51,2023,1.6 THP Griffe,1598,2,2,165,240,11.5,14.5,280000
113,52,2017,1.0 Zen,999,1,1,66,91,15.5,18.5,40000
114,52,2023,1.0 Outsider,999,1,1,66,91,15.0,18.0,65000
115,53,2012,1.0 Expression,999,1,1,75,98,13.0,16.0,28000
116,53,2021,1.0 Life TCe,999,1,1,100,160,14.5,18.0,80000
117,54,2012,1.6 Tech Road,1598,1,1,113,155,11.5,14.5,42000
118,54,2021,1.3 TCe Iconic,1330,1,3,155,270,13.0,16.5,120000
119,55,2013,1.5 Attraction,1497,1,2,115,145,12.0,15.0,38000
120,55,2022,1.0 You,999,1,1,75,91,13.5,17.0,80000
121,56,2016,1.6 VTI Shine,1598,1,2,120,156,12.5,15.5,70000
122,57,2022,1.0 Feel,999,1,1,75,91,14.0,17.5,95000
123,58,2015,1.8 Sport,1796,1,2,139,177,10.5,13.5,70000
124,58,2020,1.3 T270 Limited,1332,1,2,185,270,12.0,15.5,140000
125,58,2023,1.3 T270 Trailhawk,1332,1,2,185,270,11.5,15.0,175000
126,59,2017,2.0 Longitude Flex,1995,1,2,166,225,10.5,13.5,110000
127,59,2022,1.3 T270 S,1332,1,2,185,270,12.0,15.5,215000
128,60,2021,1.3 T270 Limited,1332,1,2,185,270,11.5,15.0,215000
129,60,2023,2.0 T280 Diesel,1956,3,2,200,440,10.5,14.0,395000
130,61,2012,5.7 Hemi,5654,2,2,396,542,7.0,10.0,180000
131,61,2022,5.7 Hemi Classic,5654,2,2,401,556,7.5,10.5,550000
132,62,2015,2.8 CD Diesel,2776,3,1,178,440,9.5,13.0,105000
133,63,2016,6.7 Laramie Diesel,6690,3,2,385,1152,6.0,9.0,400000
134,64,2012,5.7 RT,5654,2,2,375,528,7.0,10.5,180000
135,65,2016,6.4 Scat Pack,6424,2,2,485,644,7.0,10.0,300000
136,66,2021,1.5T HEV,1499,4,2,243,530,16.0,20.0,185000
137,66,2023,1.5T DCT,1499,2,4,169,285,13.0,16.5,195000
138,67,2023,Elétrico,0,5,2,171,250,,,185000
139,68,2023,Elétrico,0,5,2,517,700,,,350000
140,69,2023,Elétrico,0,5,2,517,700,,,480000
141,70,2023,Elétrico,0,5,2,204,310,,,150000
142,71,2017,1.5 Activ,1497,1,1,115,143,12.0,15.5,50000
143,72,2019,1.5 TXS,1497,2,2,147,210,11.5,14.5,95000
144,73,2022,1.5 Turbo Max,1499,2,2,150,230,12.0,15.0,155000
145,74,2015,1.5 T,1497,2,1,117,145,11.5,14.5,40000
146,75,2022,Elétrico,0,5,2,82,155,,,100000
